Date,Value
195005,57.2
195105,54.1
195205,55.8
195305,56.7
195405,58
195505,54.8
195605,55.3
195705,56
195805,53.5
195905,54.8
196005,54.1
196105,54.7
196205,55.1
196305,55.4
196405,52.3
196505,54.7
196605,53.2
196705,-99
196805,-99
196905,-99
197005,-99
197105,-99
197205,-99
197305,51.3
197405,56.8
197505,52.8
197605,55.4
197705,54.3
197805,54.1
197905,52.9
198005,53.7
198105,55.8
198205,54.2
198305,53.1
198405,55.4
198505,55.1
198605,56.8
198705,52.6
198805,53.1
198905,56.8
199005,55.3
199105,56
199205,54.6
199305,55.5
199405,55
199505,56.8
199605,57.4
199705,53.5
199805,54
199905,56.5
200005,59
200105,54.7
200205,56
200305,57.3
200405,55.9
200505,54.9
200605,58.7
200705,53
200805,56.2
200905,56.6
201005,53.5
201105,55.9
201205,58.1
201305,55.6
201405,55.2
201505,53.8
201605,55.4
201705,58.6
201805,57.2
201905,56
202005,57.5
202105,55.1
202205,55.6
202305,56.4
202405,57.6
