Date,Value
194901,73.5
194902,73.2
194903,73.3
194904,-99
194905,-99
194906,-99
194907,-99
194908,-99
194909,-99
194910,-99
194911,-99
194912,-99
195001,73.9
195002,74.9
195003,75.1
195004,75.2
195005,75.7
195006,76.2
195007,76.7
195008,77.2
195009,77.5
195010,77.8
195011,77.7
195012,77.4
195101,74.7
195102,74.2
195103,74.2
195104,74.7
195105,75.4
195106,76
195107,76.8
195108,77.3
195109,77.8
195110,78
195111,78.1
195112,77.9
195201,74.2
195202,74.4
195203,74.4
195204,74.6
195205,74.8
195206,75.4
195207,76
195208,76.6
195209,77
195210,77.1
195211,77.2
195212,77
195301,74.1
195302,74.5
195303,74.8
195304,75.2
195305,75.8
195306,76.4
195307,76.9
195308,77.4
195309,77.8
195310,77.9
195311,77.8
195312,77.5
195401,73.5
195402,74
195403,73.7
195404,74.4
195405,74.8
195406,75.7
195407,76.3
195408,76.9
195409,77.3
195410,77.5
195411,77.6
195412,77.4
195501,74.2
195502,73.1
195503,72.8
195504,73.5
195505,74.2
195506,74.7
195507,75.2
195508,75.7
195509,76
195510,76.2
195511,76.2
195512,76.1
195601,74.9
195602,74.2
195603,74.6
195604,74.8
195605,75.3
195606,75.8
195607,76.4
195608,77
195609,77.4
195610,77.6
195611,77.6
195612,77.4
195701,74.6
195702,73.4
195703,73.5
195704,73.8
195705,74.4
195706,75.3
195707,76.1
195708,76.7
195709,77.2
195710,77.5
195711,77.6
195712,77.5
195801,73.1
195802,73.1
195803,72.8
195804,73.3
195805,74
195806,74.9
195807,75.6
195808,76.3
195809,76.9
195810,77.1
195811,77.1
195812,76.8
195901,73.6
195902,73.3
195903,74.3
195904,74.7
195905,75.3
195906,76.1
195907,76.8
195908,77.4
195909,77.9
195910,78.1
195911,78.1
195912,77.9
196001,74
196002,73.8
196003,74.2
196004,74.7
196005,75.4
196006,76.2
196007,76.9
196008,77.5
196009,77.9
196010,78.1
196011,78.1
196012,77.9
196101,74.8
196102,75.3
196103,75.8
196104,76.1
196105,76.7
196106,77.2
196107,77.7
196108,78.1
196109,78.5
196110,78.6
196111,78.5
196112,78.4
196201,75.8
196202,74.5
196203,74.6
196204,75.3
196205,76
196206,76.6
196207,77.2
196208,77.7
196209,78.2
196210,78.3
196211,78.3
196212,78
196301,73.7
196302,73.5
196303,73.5
196304,74.3
196305,74.9
196306,75.8
196307,76.7
196308,77.4
196309,78
196310,78.3
196311,78.3
196312,78
196401,76.2
196402,76
196403,76
196404,76.2
196405,76.5
196406,76.9
196407,77.4
196408,77.9
196409,78.3
196410,78.4
196411,78.4
196412,78.2
196501,73.1
196502,72.1
196503,72.5
196504,73.4
196505,74.4
196506,75.4
196507,76.2
196508,76.8
196509,77.3
196510,77.4
196511,77.5
196512,77.2
196601,73.4
196602,73.1
196603,74
196604,74.5
196605,75.2
196606,76.2
196607,77
196608,77.7
196609,78.3
196610,78.7
196611,78.6
196612,78.3
196701,73.3
196702,74
196703,74.2
196704,74.5
196705,75.4
196706,76.3
196707,77.1
196708,77.8
196709,78.4
196710,78.7
196711,78.7
196712,78.4
196801,73.8
196802,74
196803,74.5
196804,75.3
196805,76.1
196806,76.9
196807,77.7
196808,78.4
196809,78.9
196810,79.2
196811,79.2
196812,78.8
196901,69.9
196902,72.2
196903,73
196904,73.6
196905,74.4
196906,75.3
196907,76.2
196908,76.8
196909,77.2
196910,77.5
196911,77.5
196912,77.3
197001,74.3
197002,73.8
197003,74.5
197004,75.1
197005,75.9
197006,76.7
197007,77.3
197008,77.9
197009,78.3
197010,78.4
197011,78.4
197012,78.1
197101,72.9
197102,74.2
197103,74.8
197104,75.5
197105,76.1
197106,76.6
197107,77.1
197108,77.6
197109,78
197110,78.2
197111,78.2
197112,77.9
197201,73
197202,72.9
197203,73.5
197204,74.1
197205,74.7
197206,75.6
197207,76.4
197208,77.1
197209,77.6
197210,77.9
197211,77.9
197212,77.4
197301,73.7
197302,73.6
197303,74.7
197304,75.1
197305,75.6
197306,76.4
197307,77.1
197308,77.7
197309,78.1
197310,78.3
197311,78.3
197312,78
197401,75.3
197402,75.3
197403,75.1
197404,75.9
197405,76.5
197406,77.1
197407,77.6
197408,78.2
197409,78.4
197410,78.6
197411,78.4
197412,78.3
197501,73.2
197502,73.4
197503,73.5
197504,74
197505,74.5
197506,75.2
197507,75.9
197508,76.5
197509,76.9
197510,77.2
197511,77.3
197512,77
197601,74.5
197602,73.6
197603,73.9
197604,74.4
197605,75.2
197606,75.8
197607,76.5
197608,77.1
197609,77.6
197610,77.9
197611,77.7
197612,77.6
197701,74.5
197702,75.5
197703,76
197704,76.3
197705,76.7
197706,77.3
197707,77.9
197708,78.5
197709,79
197710,79.3
197711,79.3
197712,79
197801,75
197802,74.5
197803,75.2
197804,75.8
197805,76.4
197806,77
197807,77.5
197808,78
197809,78.4
197810,78.5
197811,78.2
197812,77.8
197901,71.1
197902,72.2
197903,72.8
197904,73.6
197905,74.7
197906,75.8
197907,76.7
197908,77.3
197909,77.9
197910,78.3
197911,78.3
197912,78.2
198001,73.1
198002,73.4
198003,74.3
198004,75.1
198005,75.9
198006,76.7
198007,77.5
198008,78.1
198009,78.6
198010,78.9
198011,78.9
198012,78.7
198101,74.4
198102,74.6
198103,75.1
198104,75.6
198105,76.2
198106,77.1
198107,77.7
198108,78.1
198109,78.5
198110,78.6
198111,78.6
198112,78.3
198201,74.4
198202,73.7
198203,74.2
198204,74.8
198205,75.7
198206,76.6
198207,77.3
198208,78
198209,78.5
198210,78.7
198211,78.5
198212,78.1
198301,73.9
198302,73.6
198303,74.2
198304,74.9
198305,75.5
198306,76.4
198307,77
198308,77.5
198309,78
198310,78.2
198311,78.2
198312,77.9
198401,75.7
198402,75.6
198403,76.2
198404,76.9
198405,77.4
198406,78.1
198407,78.6
198408,79.1
198409,79.5
198410,79.8
198411,79.8
198412,79.4
198501,71.8
198502,73
198503,73.6
198504,74.3
198505,74.8
198506,75.7
198507,76.6
198508,77.3
198509,77.8
198510,78
198511,77.8
198512,77.5
198601,73.3
198602,73.2
198603,74.4
198604,75.3
198605,76
198606,76.8
198607,77.5
198608,78.3
198609,78.7
198610,79
198611,79
198612,78.7
198701,73.9
198702,72.7
198703,73.3
198704,74.1
198705,74.5
198706,75.6
198707,76.6
198708,77.4
198709,78.1
198710,78.4
198711,78.5
198712,78.3
198801,73.6
198802,74.4
198803,75.1
198804,75.8
198805,76.5
198806,77.3
198807,78
198808,78.6
198809,79
198810,79.2
198811,79.3
198812,79
198901,75
198902,74.5
198903,74.9
198904,74.9
198905,75.7
198906,76.7
198907,77.4
198908,78
198909,78.5
198910,78.7
198911,78.6
198912,78.2
199001,74.9
199002,73.9
199003,74.3
199004,75.1
199005,75.7
199006,76.6
199007,77.3
199008,78
199009,78.6
199010,78.9
199011,78.8
199012,78.5
199101,73.4
199102,74
199103,74.1
199104,74.8
199105,75.6
199106,76.4
199107,77.3
199108,78
199109,78.5
199110,78.8
199111,79
199112,78.8
199201,73.9
199202,74.1
199203,74.7
199204,75.2
199205,75.9
199206,77
199207,77.8
199208,78.5
199209,78.9
199210,79.1
199211,79
199212,78.9
199301,72
199302,72.1
199303,73.1
199304,74.4
199305,75.2
199306,76.2
199307,77
199308,77.7
199309,78.2
199310,78.4
199311,78.3
199312,78.1
199401,73.1
199402,73.9
199403,74
199404,74.7
199405,75.6
199406,76.5
199407,77.4
199408,78.2
199409,78.8
199410,79.2
199411,79.3
199412,79
199501,74
199502,73.6
199503,74.2
199504,74.7
199505,75.4
199506,76.4
199507,77.3
199508,78
199509,78.6
199510,79
199511,79.1
199512,79.1
199601,75.9
199602,74.9
199603,74.6
199604,75.7
199605,76.6
199606,77.5
199607,78.4
199608,79
199609,79.5
199610,79.8
199611,79.7
199612,79.2
199701,73.6
199702,74.7
199703,75.2
199704,75.6
199705,76.1
199706,77.1
199707,77.8
199708,78.4
199709,79
199710,79.2
199711,79
199712,78.7
199801,73
199802,73.1
199803,74
